"","Estimate","Std. Error","z value","Pr(>|z|)"
"ASP.0",-3353721493622954,155547816.037641,-21560710.9058438,0
"ASP.1",885230823610630,100029637.719419,8849685.39118055,0
"ASP.2",-289427745189077,33516978.6194016,-8635257.62496801,0
"ASP.3",-303796258705084,13167772.6411296,-23071195.6368516,0
"ASP.4",273352358530676,8861557.4538403,30846988.2359352,0
"ASP.5",293822157670523,7417527.31216612,39611874.0525026,0
"ASP.6",154139321893438,5598413.21086814,27532680.4377728,0
"ASP.7",-97088455762693,3980553.38132726,-24390693.0674851,0
"AVP.0",-3007134653887716,59910244.2304753,-50193997.579433,0
"AVP.1",909337630512011,24172012.8608197,37619441.7795446,0
"AVP.7",197792845311643,5504256.2899435,35934526.8266338,0
"CrippenLogP",-446324942542985,6618930.74202686,-67431577.6880769,0
"SpMAD_Dt",284577912303543,9069336.50477279,31378029.9312726,0
"VE1_Dt",-126894612279904,6020749.13375781,-21076216.5074139,0
"VE2_Dt",159032823120520,6473214.32822506,24567829.0655527,0
"VE3_Dt",-85811412884739.4,4043938.33212545,-21219762.9729032,0
"VR1_Dt",-300005136972416,8445013.87013519,-35524528.6255064,0
"VR2_Dt",268023741848505,8170749.08889269,32802835.9373875,0
"nHBd",2258287153602632,76050862.5875992,29694431.8153055,0
"nwHBd",-241275083219188,5798736.30040483,-41608217.8460751,0
"nHBint2",-484287366460661,5642395.54985104,-85830098.6136015,0
"nHBint3",-98138312547046.8,7807598.20172004,-12569590.546479,0
"nHBint4",408580984246044,6762596.55861132,60417767.1556892,0
"nHBint5",60857535527681.1,6329216.78929918,9615334.33814007,0
"nHBint6",230486683119611,7507915.51140923,30699157.8114268,0
"nHBint7",37329725957253.1,6079472.01382898,6140290.78057093,0
"nHBint8",-349213204563784,6403419.82279892,-54535422.356728,0
"nHBint9",-231990501001702,5092870.98161773,-45552008.2560605,0
"nHBint10",119820394833374,5445914.34932992,22001887.4972056,0
"nHsOH",26671107792977108,431659430.617429,61787385.8445019,0
"nHdNH",-671573929077214,16084427.1621639,-41753052.3348066,0
"nHsSH",-426695510302616,8832150.10239652,-48311623.4841657,0
"nHsNH2",-1725611688835367,42444882.377731,-40655353.2998061,0
"nHssNH",-1474213146270150,50318297.1937337,-29297755.0610305,0
"nHaaNH",-433597471831799,15215546.141165,-28497003.5126587,0
"nHdCH2",-263486388615026,7309260.93189352,-36048294.2215565,0
"nHdsCH",104294463095643,22099068.4651003,4719405.40210319,0
"nHaaCH",373251398925499,80211732.179188,4653326.74890599,0
"nHCsats",403595373247590,18729527.9097885,21548614.3159359,0
"nHCsatu",236161973083788,4925687.45384151,47944977.2842585,0
"nHAvin",-38639119485236.1,2374886.31302874,-16269881.75108,0
"nsCH3",-6072894143854935,77854662.4835075,-78002960.2612612,0
"nssCH2",-9584429566383094,100302124.561472,-95555598.7302049,0
"nsssCH",-6507683353757862,61932006.3381163,-105077870.693052,0
"ndssC",-395352007931939,30556390.9843567,-12938439.2330344,0
"naasC",-573542517608150,50665011.7939406,-11320287.8534955,0
"naaaC",2349990440286.83,17684209.5435917,132886.371567476,0
"nssssC",-3242504543376642,30607288.3650441,-105938968.023049,0
"ndsN",117310678273016,9922524.11631451,11822664.9688999,0
"naaN",660080130772515,22998654.8862441,28700814.6362212,0
"nsssN",456149293307385,19746180.4269636,23100634.3223983,0
"naasN",181865434533463,4984207.26231057,36488337.0538556,0
"nssssNp",165572600065025,9333854.59577038,17738930.7242963,0
"ndO",29459632109394568,496577347.180642,59325364.4707195,0
"nssO",42659637621344424,528970810.375819,80646487.073712,0
"naaO",9643020876814012,122527923.061407,78700598.4911804,0
"nsOm",4832266868858308,85410533.2690811,56576942.9589501,0
"ndS",-914681045924534,13204504.9719746,-69270377.63747,0
"nssS",-729397158242002,19118174.640305,-38152029.2582894,0
"naaS",-1107112040165262,18930356.1560769,-58483423.7157161,0
"ndssS",-122311853300272,3935380.79962335,-31080055.4070851,0
"nddssS",-2641456749000058,35379413.1327216,-74660841.2946522,0
"ndsssAs",848727012618177,71078976.9293546,11940619.4248087,0
"SwHBd",221330342890569,5613491.91975497,39428282.0843947,0
"SwHBa",-2735235685370706,43316224.3608555,-63145754.8696815,0
"SHBint3",-396949308303194,6577265.06469947,-60351727.4123012,0
"SHBint4",-259903099380309,6120488.53688003,-42464436.9177754,0
"SHBint5",-35255858732039.6,5458101.70635438,-6459362.72880264,0
"SHBint6",-60996135097750.7,6490557.33511114,-9397672.94986945,0
"SHBint7",-93082102632568,4933937.59829216,-18865682.992178,0
"SHsOH",394988918982923,12878286.8934858,30670920.9268136,0
"SHsSH",723824652402160,8139922.74427584,88922791.424669,0
"SssCH2",-370264841816275,22584535.5466252,-16394618.3906183,0
"SsssCH",-761186925509169,17153389.0661362,-44375308.1431521,0
"SdssC",632683943252605,9454985.09638456,66915382.3938373,0
"SaasC",475018490623086,9937298.56933941,47801571.7560012,0
"SssssC",-153384404823094,11828063.1427001,-12967837.8423062,0
"SssS",-549392644697125,29441668.0080741,-18660377.6846631,0
"SaaS",-1176816651524593,35581391.6890733,-33073935.4381684,0
"SsBr",200556104768813,8027875.74228549,24982462.5102775,0
"SsI",139901336169855,4086814.74696151,34232365.5051577,0
"minHBd",-115437611315970,4833893.97127484,-23880873.6811259,0
"minHBa",-197709686504536,6119052.85745957,-32310504.7643956,0
"minwHBa",51484541501595.4,5177551.13233071,9943801.65173169,0
"minHBint2",-280282716874168,3920309.27395428,-71495052.3766856,0
"minHBint3",-79350058365210.9,2545537.07529983,-31172226.5352841,0
"minHBint4",59250239032876.7,2538931.58351677,23336682.0191377,0
"minHBint5",141962656977628,2556506.15775756,55529949.16396,0
"minHBint6",-5856856851703.75,2429059.53464644,-2411162.33182661,0
