"","Estimate","Std. Error","z value","Pr(>|z|)"
"AATSC4m",-91352974458978.4,12382729.6439865,-7377450.45603436,0
"AATSC5m",-122120806857988,10211012.4771079,-11959715.7609759,0
"AATSC6m",23797538239122.4,8766545.6209604,2714585.56973953,0
"AATSC7m",-450475169977869,11460773.4942497,-39305826.1036124,0
"AATSC8m",-377005204690202,7230513.64909925,-52140860.6616997,0
"AATSC0v",-162641874804376,19793625.0637304,-8216881.661682,0
"AATSC1v",-84571725259811.1,30895511.399122,-2737346.67043623,0
"AATSC2v",-1051308585646046,24900957.3994717,-42219605.0047598,0
"AATSC3v",-874057921936088,19499306.1248118,-44825078.2023418,0
"AATSC4v",-1051236351234621,15807929.4770931,-66500571.9286604,0
"AATSC5v",-11706807773893.6,14796153.6435593,-791206.150997867,0
"AATSC6v",-238709923911143,11239471.6792193,-21238536.0027637,0
"AATSC7v",261922880188644,12383506.8764757,21150945.5924965,0
"AATSC8v",143040480552352,11633901.2386845,12295143.1009849,0
"AATSC0e",649411497635649,44216410.203439,14687114.9115841,0
"AATSC1e",-274643197360522,27577663.7031395,-9958900.0836665,0
"AATSC2e",-255316997697929,17676662.0579885,-14443733.5997236,0
"AATSC3e",-259949370894089,15306355.7609386,-16983100.0242051,0
"AATSC4e",-200472512576297,13478293.7846755,-14873730.7391406,0
"AATSC5e",-447393754759584,9564383.85252705,-46777059.7309701,0
"AATSC6e",-401125162826451,7674008.90388422,-52270614.7269937,0
"AATSC7e",64595040124627,7476179.32186412,8640113.79926622,0
"AATSC8e",-176051395226834,9303619.71055884,-18922892.4551839,0
"AATSC5p",456374425322578,13327164.4220921,34243925.479456,0
"AATSC6p",-468053089497208,14671104.1890201,-31903058.1111611,0
"AATSC7p",418391064708168,12628942.8891395,33129539.6915582,0
"AATSC8p",435712223984216,12490708.0357242,34882908.3778159,0
"AATSC0i",-392983995406105,27347113.7528272,-14370218.3330216,0
"AATSC1i",-1334359068827186,27926225.5090321,-47781576.0814371,0
"AATSC2i",-289444184347203,19765021.9271882,-14644263.2552333,0
"AATSC3i",-54001096631362.7,16068914.2195594,-3360593.99493412,0
"AATSC4i",127031195547998,13372973.147375,9499098.97732302,0
"AATSC5i",199025788461210,10362850.7100273,19205698.7049546,0
"AATSC6i",112593344358683,6253532.15150435,18004759.811077,0
"AATSC7i",-390181360551418,5954725.85752625,-65524655.5235222,0
"AATSC8i",-148890761622295,4847222.01503226,-30716720.0430583,0
"AATSC1s",-273501718002651,17314769.9501724,-15795862.0755413,0
"AATSC2s",1071359326130791,14560953.5220899,73577552.7684685,0
"AATSC3s",237235795845532,12292831.3556643,19298710.6860632,0
"AATSC4s",-96268130442554.2,11200383.2578328,-8595074.67079134,0
